artist_name,track_name,track_url
Mark Sixma,Project Almanac (Paramount Pictures),https://www.what-song.com/Movies/Soundtrack/1631/Project-Almanac?yt=close
Mark Sixma,Requiem,https://open.spotify.com/track/7lh33PKFEE3RWUfm7f89c6?si=750e26963bb64d61
Robyn S,Show Me Love,https://open.spotify.com/track/60ovCNU0cLasi18legx3uk?si=da065470c3dc4269
Shawnee Taylor,Levity,https://open.spotify.com/album/4evWUE2XUNY2kQjtU76o9T?si=k4iLaEQpQJqLLGRzxMrPDg
Camille Ruz,Hear Me,https://open.spotify.com/track/4BBkhx3Bet56MVyhxFg5s2?si=5684dc6c0522474e
Camille Ruz,Never Go,https://open.spotify.com/track/0oVJ7KIPJvyGk6b8f8RbQz?si=dccee73ca3d149dc
Camille Ruz,Close,https://open.spotify.com/track/1JjHb5r5mrvhxp9F9sxxrE?si=ce02b83365ee4e98
Richard Bedford,Breathe,https://open.spotify.com/album/3NIBScr2wuS8Lp2evNE3In?si=ZTMTf3-LT4mrAwi5pxtEzA
Richard Bedford,Breathe (Alex M.O.R.P.H. Remix),https://open.spotify.com/album/6R6S3DOPOBtokbVVgcPTTZ?si=yjruHTmERW6alYct0HqNEQ
Richard Bedford,Breathe (Ahmed Helmy Remix),https://open.spotify.com/album/5FEmz38EtbtppEBql0U1Zj?si=pV1P0tIyQp6_OIf0ybPkYA
Richard Bedford,Edge Of Tomorrow,https://open.spotify.com/album/0IRsFZxn79L0oItnOXFI3c?si=Z33c6IvbRMiA3i6CCLSNhA
Richard Bedford,Change The Story,https://open.spotify.com/album/3VFFxNY7v34aHH3AfS1GRW?si=Pqg2iRXrTIOt1ni8cKtyug
Richard Bedford,Make You Mine,https://open.spotify.com/album/2u3lMjQaNnYdRjlE6cX0Fn?si=MpGFItFgTQmvhB2gutxW_Q
Richard Bedford,Sun & Moon,https://open.spotify.com/track/4rfhAoZjGwraqwX1w47uij?si=59a74a3cde5f4270
Richard Bedford,Sun & Moon (ilan Bluestone Remix),https://open.spotify.com/album/75QMQbVvGU96dXeQk6hYbz?si=2qEU9siPQcqGyuM4n6-liw
Richard Bedford,Northern Soul,https://open.spotify.com/track/6poaggkSYGIoUjyuippcQ2?si=fc5e1ae1ba1e442f
Richard Bedford,Thing Called Love,https://open.spotify.com/track/0YuDHcx0WM1tGOyidHMwnz?si=a9e553086e544a51
Richard Bedford,Greatest Thing,https://open.spotify.com/album/7CzNMKGhPWteOao86A0zns?si=J6OiotBFQu-Xw2czp_NFVQ
Richard Bedford,Love Never Came,https://open.spotify.com/track/0ZwOZYhdYelmk0aoqa8pC9?si=74b10b92d3f647d3
Lokka Vox,Sweet Surrender,https://open.spotify.com/track/1Wm94P0SUXmyoo2GJEGNqP?si=bc712d135da045cd
Sam Deed,On My Mind,https://open.spotify.com/track/0hHa9Oh2IUWMzkDQkMvYxV?si=946e436ce2a24c9d
Andrea Brown,Inside of Me,https://open.spotify.com/track/0fzdbw5Wa0tsIkqcfgen5W?si=7ab64f57a44842a6
Andrea Brown,More Than You'll Ever Know,https://open.spotify.com/track/2dHMX8YcbzFQm5VaseCqzG?si=2a39d6afd3654b4a
B.D.M,Slave (All This Time),https://open.spotify.com/track/0VWoOeU9vZSfyspfiYsWwL?si=c2de1b7f254848ea
Audrey Gallagher,In This Moment,https://open.spotify.com/track/4WDHWWonneAgYuIezn0Bw7?si=7ab495de16dd4586
Audrey Gallagher,Going Home,https://open.spotify.com/track/6cfYFMqrXmxox2qDJSvnH3?si=da0231f0f9de45a0
Carly Lind,Castles in the Sky,https://open.spotify.com/track/0OZcPmUlPdgNa2dOt33lTM?si=3874c9aa84f84759
Madeline Wood,Falcon,https://open.spotify.com/track/3ozAOXWWPNnArzC9ZdmmuU?si=f64017f770ef40d3
Madeline Wood,Forget,https://open.spotify.com/track/0HxaZ050JwEPwE58UGXM6C?si=28d1dbad12774abd
Suzanna Dee,Fallen Angel,https://open.spotify.com/track/0Ostj2JYdRvFKKeqt8QXR2?si=02867bdfa70c4074
Julie Thompson,Skin & Bones,https://open.spotify.com/track/5o51bcwVOf1F8Vs1V6HgfL?si=f3b9fc29b66e4459
Hannah Ray,When Your With Me,https://open.spotify.com/track/5VldzroUzs2VTuq2BuS4y1?si=4c6a22e005694d52
Seri,Hurt,https://open.spotify.com/track/5ZfYCJCHXlvEbLX4FKpB96?si=12037011fd504671
Shannon Hurley,I Want To Believe,https://open.spotify.com/track/05E6YBDzTwnL8KYnzMcLvH?si=5c0bb617a0474fd4
Audrey Gallagher,In This Moment,https://open.spotify.com/track/30kLUEEV5pX5Dyk8GPss27?si=29c4b1ecc1ac4d2b
Andrew Taetz,Stars,https://open.spotify.com/track/2GvPTaUvk6xjYo4Av3wRak?si=59df450b0b7b4565
Lizzie Curious,Music Box,https://open.spotify.com/track/7F9r4qVYFRJE5LmMFTa7ZO?si=5c5c56faf10e460a
Jaren,7even,https://open.spotify.com/track/0wnMvGJtcNQX3meb5OIti4?si=4abf589c2f66451d
Enzo,Zodiac Sign,https://open.spotify.com/track/7BAPNV1t9op7ylSzq28QRr?si=c6e483ad2cf04340
Aelyn,Happy Life,https://open.spotify.com/track/4EcrwbQRm4eoTifox0GvXV?si=e896d5be800e4f64
Kyler England,Rise Like Smoke,https://open.spotify.com/track/6BXXKFrMMhm06cs0flMOa0?si=edd7d561584540e5
Christina Novelli,I?d Go Back,https://open.spotify.com/track/5cI1YIC8jm4hE0YEUV6bIS?si=796989d11e2a4ef8
Gaelan,In Between,https://open.spotify.com/track/4iipCHbjbEocSmE9BEw4bK?si=23a73152e80644c9
Michelle C,The Chase,https://open.spotify.com/track/3S3nOmFUJEsXTSJ4xQ2nwz?si=3d5937bfc2894586
Lyca,Take Me Back,https://open.spotify.com/track/3BdUMXfRyMedvv3jnqiXps?si=b79ff61fdc3942ce
Michelle C,Lost In Us,https://open.spotify.com/track/50Xliln3aoyViLa28ZgUHD?si=3f90e8f946c649e0
Victoria Ray,My World,https://open.spotify.com/track/5lHBN2QLzwUhvjIcc7aQFH?si=9222c16308904b6b
Clara Yates,Turtledove,https://open.spotify.com/track/3Lw9uAIRIUVC52DGdPJUlX?si=2d73b552c15d4837
Attila Syah,Samurai,https://open.spotify.com/track/4sYuMl8DvEDLZeQ4gG4W3E?si=126e6ec6f4d84381
Linney,Take Me Away,https://open.spotify.com/track/3RcH4jddheAe41wvSs1YPN?si=7d07f8b10cda4afa
Cassidy Fox,Wildfire,https://open.spotify.com/track/162JNe5v4OYvnzCZCQxGEV?si=65cb52eb3bf54e7d
Christina Novelli,Cabana,https://open.spotify.com/track/3nyHYploZeTQjopAW6pUWJ?si=bd0d558b7dd34e06
Kyler England,Yet To Come,https://open.spotify.com/track/2fhg6ArQSoAO1KRX3Udk9u?si=e5e2d179ded74fb3
Eric Lumiere,Shining,https://open.spotify.com/track/0Hd228jFwiS19iT4Xljq24?si=c47d1f92a8e047e0
Christina Novelli,Hiding My Heart,https://open.spotify.com/track/7uKU8KbtrH7fl9XzyHOAQI?si=377975aff5824c67
Arielle Maren,Black Hole,https://open.spotify.com/album/0s2TYWAV9MGjTSR7r8O1N7?si=hVhlSEmcQ6Sga0aHsYP2LQ
Christina Novelli,Back To You,https://open.spotify.com/album/4g4q3Q5PZzUbNS1djvX2sn?si=VMgIAuChSe6O7IzNbx5NBA
Linnea Schossow,Walk Away,https://open.spotify.com/album/6wVInzmV6kpOWQasojtvzO?si=x2M9jOBCRxewabPl5cj0_A 
Adina Butar,Stay,https://open.spotify.com/album/3ohNLbteVYaAQn19STlEOn?si=oWKLubLYScuZKPakmQ1nQw 
Christina Novelli,Step Into The Light,https://open.spotify.com/album/1BcGpmfzDlvsIPCLR4z6mU?si=rIEJUiRSTaCK9rkr-EhpMw
Christina Novelli,Step Into The Light (Remixes),https://open.spotify.com/album/0szkKCv6N5WYa72SIZduTa?si=cQ3TVE9KTueuLV1DJ38CQg 
Irina Makosh,Stay With Me,https://open.spotify.com/album/01a20nk7sicHfMAr1K6BT1?si=srVr6xv7RS6jKNw7PLqNdw 
Roxanne Emery,Nowhere To Be Found (Remixes),https://open.spotify.com/album/4AUPY4CuWwgHziUUVrkYvN?si=QyG_7NpqSxiGI1H4VED04g 
Roxanne Emery,Nowhere To Be Found,https://open.spotify.com/album/6KmYV8WE4xXMs2o1lW4KUk?si=BJfU8n1TTHqMBA7KvipXjw
Sarah Russell,Another Day,https://open.spotify.com/album/4AUPY4CuWwgHziUUVrkYvN?si=QyG_7NpqSxiGI1H4VED04g 
Christina Novelli,Can?t Let Go,https://open.spotify.com/album/7CdiYiUWhDHRTBDbKVRG8p?si=qTvPJMEoRDer5iRyNsHlzg 
Eric Lumiere,More To Life,https://open.spotify.com/album/2dgN1FbgWz2WF1Wysl2Qu1?si=TqU1rdvYQYC30J1N871iVQ 
Betsie Larkin,Under Your Stars,https://open.spotify.com/album/46z4cvaWBTMuAxJquk82eX?si=dqmF00XgRr-qMap9ZhUEfQ 
Linnea Schossow,Run The Sky,https://open.spotify.com/album/0ngoWR6hGlRjxx33GYwE0e?si=UdqS65ZpR2Ctpa8AMYNNuA 
Gus Turner,Ocean,https://open.spotify.com/track/0Ksr4YAN0ntycUptGHnvjd?si=e125d82a54aa441b
Gus Turner,Ocean (Orjan Nilsen Remix),https://open.spotify.com/track/4ZWfnDPrmjFs7dO1WMe1A6?si=25082f0170da4d5d 
Simon Dale,Falling Apart,https://open.spotify.com/track/6bM7wqBoHQvweeCbpVzc3h?si=b53503a38c0f4514 
Mr Jeff,Mykonos,https://open.spotify.com/track/3nvjMFfYBuVYTkP77hPGsY?si=e9727c5243c24b27 
She/Alters,Chameleon,https://open.spotify.com/track/33Um6rSk5uFKG5dQnKncSO?si=563e6b5749494cae 
Neverwaves,You Never Know,https://open.spotify.com/track/1PfLmjg83VihYZJtVQk1bX?si=4fbd2be47e044648 
Paris Hilton,Melting,https://open.spotify.com/track/3I0ZkmouwJZfb1D7NlJoX7?si=d99e84b7dcb44ec0 
Christian Burns,Truth,https://open.spotify.com/track/2Mgzt7g9UKVOwZu3K4SH86?si=a5a5fca5650b4cc4 
Christian Burns,As We Collide,https://open.spotify.com/track/2HeklDtV8HpT8tfUNbjuNU?si=5e7519cdbc14438d
Christian Burns,As We Collide (Remixes),https://open.spotify.com/album/3XZedJ4tmolWH4eV8cerDH?si=OAYINfK7RnykKchH1kRgsA 
Christian Burns,Perfectly,https://open.spotify.com/album/1QTiluW3RBR1u1KtQb0C90?si=a_BVrnllQhWEdLLIbnVGTw 
Christian Burns,We Are Tonight,https://open.spotify.com/album/6EBWrDc6N8CUhe8wCTyuRK?si=VediAtQxQTGC3EF1MdVz7w
Christian Burns,We Are Tonight (Remixes),https://open.spotify.com/album/0Ys59uhLFzqAvZoCsd4Dxu?si=EEDqL7DCT-ewX6qVSp4Jgw 
Christian Burns,Simple Modern Answers,https://open.spotify.com/album/1iW3isOaaK14OYv1M8iODA?si=atQdNQkxQpC9WXRUjBOqxA
Christian Burns,Simple Modern Answers (Deluxe Version),https://open.spotify.com/album/4kcw6MPC3QeBpLKO0m3yQd?si=t9m5XfhHTuaw9u5BNf86HA 
Christian Burns,Frozen Heart,https://open.spotify.com/album/1OGafTL0iNDZp5s59RV5Xy?si=AerDtCoeRCSlg8NLTl5AfQ 
Christian Burns,Still In Love,https://open.spotify.com/album/3aF5yaqtuTDvQSlUysOBYs?si=vTz-A07iRxyc4VdLU6OzOQ 
Christian Burns,Paralyzed,https://open.spotify.com/album/5SD7BogNmNN99qmOVG8pZg?si=IzWxTChMQZ-QKgYiMFiX2A
Christian Burns,Paralyzed (remixes),https://open.spotify.com/album/2CmJkksJpqQavVyMU4kbNu?si=2w4CUajaScmvKqR76yVsIQ 
Christian Burns,In The Dark,https://open.spotify.com/album/7tTCsdERN3kJ5KEvCABHYv?si=VYhnyBKmSi2K2P3-8yRXEg 
Christian Burns,Miracles,https://open.spotify.com/album/7pG93DgBit2tddpbyjtzPS?si=yADLL3xnSTedszopQsolDQ 
ChristianBurns,Bright Enough To See You,https://open.spotify.com/album/6ScW2dAQo3tnufVcEU1Lyq?si=ZXkRCjrGQyuuWH7yticwfA 
